id;CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment;Latitude;Longitude;State;location
2;36005000200;Bronx;Bronx;5403;2659;2744;75.8;2.3;16;0;4.2;3639;72034;13991;22180;2206;20;20.7;28.7;17.1;23.9;8;22.3;44.8;13.7;38.6;2.9;0;0;43;2308;80.8;16.2;2.9;0;7.7;407.988.442.211;-738.652.763.819;NY;40.7988442211 -73.8652763819
3;36005000400;Bronx;Bronx;5915;2896;3019;62.7;3.6;30.7;0;0.3;4100;74836;8407;27700;2449;13.2;23.6;32.2;23.4;24.9;9;10.5;41.3;10;44.6;1.4;0.5;2.1;45;2675;71.7;25.3;2.5;0.6;9.5;408.011.055.276;-738.589.447.236;NY;40.8011055276 -73.8589447236
4;36005001600;Bronx;Bronx;5879;2558;3321;65.1;1.6;32.4;0;0;3536;32312;6859;17526;2945;26.3;35.9;19.1;36.1;26.2;4.9;13.8;37.2;5.3;45.5;8.6;1.6;1.7;38.8;2120;75;21.3;3.8;0;8.7;408.169.346.734;-738.621.105.528;NY;40.8169346734 -73.8621105528
5;36005001900;Bronx;Bronx;2591;1206;1385;55.4;9;29;0;2.1;1557;37936;3771;17986;2692;37.1;31.5;35.4;20.9;26.2;6.6;11;19.2;5.3;63.9;3;2.4;6.2;45.4;1083;76.8;15.5;7.7;0;19.2;40.794.321.608;-739.285.929.648;NY;40.794321608 -73.9285929648
6;36005002000;Bronx;Bronx;8516;3301;5215;61.1;1.6;31.1;0.3;3.3;5436;18086;3694;12023;2346;53.2;67.7;14.5;41.1;16.7;7.1;20.6;19.6;7;68.2;4.3;1;0;46;2508;71;21.3;7.7;0;17.2;408.146.733.668;-738.684.422.111;NY;40.8146733668 -73.8684422111
7;36005002300;Bronx;Bronx;4774;2130;2644;62.3;0.2;36.5;1;0;3056;14479;1901;9781;1460;54.2;68.3;20.8;36;33.7;3.4;6.1;5.9;0;74.5;14;1.5;4.1;42.7;1191;74.2;16.1;9.7;0;18.9;408.078.894.472;-739.254.271.357;NY;40.8078894472 -73.9254271357
9;36005002500;Bronx;Bronx;5355;2338;3017;76.5;1.5;18.9;0;3;2509;17226;6097;11493;1714;50.5;62.4;15.9;36.6;24.2;8.6;14.7;12.6;2.8;62.5;17.7;1.8;2.7;35.5;1691;85.1;8.3;6.1;0.5;9.4;408.056.281.407;-739.222.613.065;NY;40.8056281407 -73.9222613065
10;36005002701;Bronx;Bronx;3016;1375;1641;68;0;31.2;0;0;1456;20153;5229;10317;1573;52.6;64.9;19.9;35.9;25.8;4.9;13.5;14;1.7;64.7;18;0;1.6;42.8;1102;86.9;8.5;4.5;0;15.2;408.056.281.407;-739.159.296.482;NY;40.8056281407 -73.9159296482
11;36005002702;Bronx;Bronx;4778;2427;2351;71.3;1.6;26.2;0;0;2365;17147;7165;8911;1450;52.7;63.1;15.2;46.4;25;1.7;11.6;5.1;3;83.6;7.1;0.7;0.5;44;1559;75;14;11;0;10.6;408.056.281.407;-739.159.296.482;NY;40.8056281407 -73.9159296482
12;36005002800;Bronx;Bronx;5299;2292;3007;23;0.2;71.4;0;1.7;4056;49529;5441;26652;3069;8.5;6.5;36.6;24.4;26.6;4.9;7.4;42.8;3.7;48.2;2;0.6;2.7;47.3;2394;61.9;37.4;0.6;0;12.8;408.191.959.799;-738.811.055.276;NY;40.8191959799 -73.8811055276
13;36005003100;Bronx;Bronx;1466;769;697;72.3;0.6;24.6;0;2.2;647;37250;12079;17043;2281;18.1;25.2;17.5;27.6;27;10.9;17;16.4;0;65.5;14.6;3.5;0;40.1;722;79.2;10.2;10.5;0;6.6;408.078.894.472;-739.064.321.608;NY;40.8078894472 -73.9064321608
14;36005003300;Bronx;Bronx;3912;1824;2088;65.6;1;30.6;1.7;0;1945;19923;2402;8555;1435;56.3;72.3;14.5;51.4;15.8;2.7;15.6;11;4.6;68.4;13.5;0.8;1.8;42.5;1113;77.2;16.9;5.9;0;18.5;408.078.894.472;-739.127.638.191;NY;40.8078894472 -73.9127638191
15;36005003500;Bronx;Bronx;3948;1921;2027;73.5;0.7;25.9;0;0;2191;26541;7009;12300;1884;36.3;47.9;15.9;34.6;23.5;7.6;18.4;19.6;2.6;64.7;7.4;1;4.7;41.6;1360;83.2;13.4;3.4;0;11.8;408.101.507.538;-739.095.979.899;NY;40.8101507538 -73.9095979899
17;36005003800;Bronx;Bronx;1193;542;651;53.1;1.8;42.7;0;0.8;846;37685;6696;19795;6558;31.3;45;35.7;31.9;17.6;3.2;11.6;41.6;1.7;47.3;6.9;1.3;1.1;41.3;476;71.8;27.1;1.1;0;13.1;408.214.572.864;-738.621.105.528;NY;40.8214572864 -73.8621105528
18;36005003900;Bronx;Bronx;6614;3520;3094;82;1.9;16.1;0;0;2569;25990;6323;14559;2790;30.2;35.7;9.3;43.8;12.7;10.2;24;3.4;1.1;83.6;6.5;0.6;4.8;42.9;2729;88.2;3.4;8.2;0.3;9.3;408.078.894.472;-739.222.613.065;NY;40.8078894472 -73.9222613065
19;36005004001;Bronx;Bronx;1419;675;744;51.3;11.2;10.8;0;21.6;936;48056;6057;22652;3344;16.6;28.6;18.1;17.9;42.7;9.5;11.8;31;3;62.9;3.2;0;0;47.4;602;81.9;16.9;1.2;0;6.8;40.828.241.206;-738.589.447.236;NY;40.828241206 -73.8589447236
20;36005004100;Bronx;Bronx;6476;3125;3351;75.8;0.5;23.4;0;0.2;3809;18636;3658;10877;4758;53.3;67.4;8.9;48.1;30.3;8.3;4.4;6.7;0.5;75.1;16.2;0.7;0.8;43.5;1734;81.3;13.4;5.3;0;19.2;408.101.507.538;-739.222.613.065;NY;40.8101507538 -73.9222613065
21;36005004200;Bronx;Bronx;7120;3147;3973;46.5;5.1;47;0;0.8;5248;25741;7845;13846;1947;40.5;56.4;26.3;32;23.9;6.6;11.1;19.4;2.7;68.9;7.2;1;1;48.5;2094;71.8;24.2;3.4;0.6;21;408.214.572.864;-738.684.422.111;NY;40.8214572864 -73.8684422111
22;36005004300;Bronx;Bronx;6057;3094;2963;74.1;0.4;23.4;0;0;3032;21448;3092;11828;1525;46.6;55.2;14.4;39.1;22.3;10.1;14;13.4;2.6;66.4;12.6;1;4;39.6;2026;76.8;12.2;11;0;15.6;408.124.120.603;-739.190.954.774;NY;40.8124120603 -73.9190954774
23;36005004400;Bronx;Bronx;4754;2081;2673;60.6;2.4;35.2;0;1.7;3153;22719;2899;12126;1669;34.8;46.6;16.3;30.4;38.2;4.1;11;15.9;5.6;72.4;2.5;0.8;2.8;43.2;1446;79.3;19.3;1.4;0;26.1;408.259.798.995;-738.716.080.402;NY;40.8259798995 -73.8716080402
