Company,Bean_Origin,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
A. Morin,Agua Grande,2016,63,France,"3,75",,Sao Tome
A. Morin,Kpime,2015,70,France,"2,75",,Togo
A. Morin,Atsane,2015,70,France,3,,Togo
A. Morin,Akata,2015,70,France,"3,5",,Togo
A. Morin,Quilla,2015,70,France,"3,5",,Peru
A. Morin,Carenero,2014,70,France,"2,75",Criollo,Venezuela
A. Morin,Cuba,2014,70,France,"3,5",,Cuba
A. Morin,Sur del Lago,2014,70,France,"3,5",Criollo,Venezuela
A. Morin,Puerto Cabello,2014,70,France,"3,75",Criollo,Venezuela
A. Morin,Pablino,2014,70,France,4,,Peru
A. Morin,Panama,2013,70,France,"2,75",,Panama
A. Morin,Madagascar,2013,70,France,3,Criollo,Madagascar
A. Morin,Brazil,2013,70,France,"3,25",,Brazil
A. Morin,Equateur,2013,70,France,"3,75",,Ecuador
A. Morin,Colombie,2013,70,France,"2,75",,Colombia
A. Morin,Birmanie,2013,70,France,3,,Burma
A. Morin,Papua New Guinea,2013,70,France,"3,25",,Papua New Guinea
A. Morin,Chuao,2013,70,France,4,Trinitario,Venezuela
A. Morin,Piura,2013,70,France,"3,25",,Peru
A. Morin,Chanchamayo Province,2013,70,France,"3,5",,Peru
A. Morin,Chanchamayo Province,2013,63,France,4,,Peru
A. Morin,Bolivia,2012,70,France,"3,5",,Bolivia
A. Morin,Peru,2012,63,France,"3,75",,Peru
Acalli,"Chulucanas, El Platanal",2015,70,U.S.A.,"3,75",,Peru
Acalli,"Tumbes, Norandino",2015,70,U.S.A.,"3,75",Criollo,Peru
Adi,Vanua Levu,2011,60,Fiji,"2,75",Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",2011,80,Fiji,"3,25",Trinitario,Fiji
Adi,Vanua Levu,2011,88,Fiji,"3,5",Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",2011,72,Fiji,"3,5",Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,55,Ecuador,"2,75",Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009,70,Ecuador,3,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,2009,70,Mexico,3,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75,Switzerland,"3,75",Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75,Switzerland,"2,75",Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75,Switzerland,"2,75",Forastero,Brazil
Alain Ducasse,Trinite,2014,65,France,"2,75",Trinitario,Trinidad
Alain Ducasse,Vietnam,2014,75,France,"2,75",Trinitario,Vietnam
Alain Ducasse,Madagascar,2014,75,France,3,Trinitario,Madagascar
Alain Ducasse,Chuao,2013,75,France,"2,5",Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",2013,75,France,"2,5",,Peru
Alexandre,"Winak Coop, Napo",2017,70,Netherlands,"3,5",Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",2017,70,Netherlands,"3,5","Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,2017,70,Netherlands,"3,5",Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",2017,70,Netherlands,"3,5",Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,2016,60,U.S.A.,"2,75",,Nicaragua
Altus aka Cao Artisan,Acopagro,2016,60,U.S.A.,3,,Peru
Altus aka Cao Artisan,CIAAB Coop,2016,60,U.S.A.,"2,5",,Bolivia
Altus aka Cao Artisan,Villa Andina,2016,60,U.S.A.,"2,5",,Peru
Altus aka Cao Artisan,Gruppo Salinas,2016,60,U.S.A.,"2,75",,Ecuador
Altus aka Cao Artisan,Sur del Lago,2013,60,U.S.A.,"2,5",,Venezuela
Altus aka Cao Artisan,Conacado,2013,60,U.S.A.,3,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,2013,80,U.S.A.,"3,25",,Bolivia
Altus aka Cao Artisan,Bolivia,2013,60,U.S.A.,3,,Bolivia
Altus aka Cao Artisan,Peru,2013,60,U.S.A.,"3,25",,Peru
Amano,Morobe,2011,70,U.S.A.,4,,Papua New Guinea
Amano,Dos Rios,2010,70,U.S.A.,"3,75",,Dominican Republic
Amano,Guayas,2010,70,U.S.A.,4,,Ecuador
Amano,Chuao,2010,70,U.S.A.,3,Trinitario,Venezuela
Amano,Montanya,2009,70,U.S.A.,3,,Venezuela
Amano,"Bali, Jembrana",2008,70,U.S.A.,"2,75",,Indonesia
Amano,Madagascar,2007,70,U.S.A.,"3,5",Trinitario,Madagascar
Amano,Cuyagua,2007,70,U.S.A.,3,,Venezuela
Amano,Ocumare,2007,70,U.S.A.,"3,75",Criollo,Venezuela
Amatller (Simon Coll),Ghana,2009,70,Spain,3,Forastero,Ghana
Amatller (Simon Coll),Ecuador,2009,70,Spain,"2,75",,Ecuador
Amatller (Simon Coll),Ecuador,2009,85,Spain,"2,75",,Ecuador
Amatller (Simon Coll),Ghana,2009,85,Spain,3,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72,Peru,"3,25",,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",2013,73,Peru,"3,5",Trinitario,Peru
Ambrosia,Belize,2015,64,Canada,3,Trinitario,Belize
Ambrosia,Madagascar,2015,66,Canada,"3,25",Trinitario,Madagascar
Ambrosia,Dominican Republic,2015,75,Canada,"3,25",,Dominican Republic
Ambrosia,Papua New Guinea,2015,63,Canada,"3,25",,Papua New Guinea
Ambrosia,Venezuela,2015,70,Canada,"3,25",,Venezuela
Ambrosia,Peru,2015,68,Canada,"3,5",,Peru
Amedei,"Piura, Blanco de Criollo",2012,70,Italy,"3,75",,Peru
Amedei,Porcelana,2007,70,Italy,4,Criollo (Porcelana),Venezuela
Amedei,Nine,2007,75,Italy,4,Blend,
Amedei,Chuao,2007,70,Italy,5,Trinitario,Venezuela
Amedei,Ecuador,2007,70,Italy,3,Trinitario,Ecuador
Amedei,Jamaica,2007,70,Italy,3,Trinitario,Jamaica
Amedei,Grenada,2007,70,Italy,"3,5",Trinitario,Grenada
Amedei,Venezuela,2007,70,Italy,"3,75",Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,2007,70,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,2007,70,Italy,"3,5",Trinitario,Trinidad
Amedei,Toscano Black,2007,63,Italy,"3,5",Blend,
Amedei,Toscano Black,2006,70,Italy,5,Blend,
Amedei,Toscano Black,2006,66,Italy,4,Blend,
AMMA,Catongo,2013,75,Brazil,"3,25",Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,85,Brazil,"2,75",Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,50,Brazil,"3,75",Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,75,Brazil,"3,75",Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,60,Brazil,4,Forastero (Parazinho),Brazil
Anahata,Elvesia,2014,75,U.S.A.,3,,Dominican Republic
Animas,Alto Beni,2016,75,U.S.A.,"3,5",,Bolivia
Ara,Madagascar,2014,75,France,3,Trinitario,Madagascar
Ara,Chiapas,2014,72,France,"2,5",,Mexico
Ara,Equateur,2014,75,France,"2,75",,Ecuador
Ara,Trincheras,2014,75,France,3,,Venezuela
Arete,San Juan,2016,70,U.S.A.,"3,5",Trinitario,Trinidad
Arete,Kokoa Kamili,2016,70,U.S.A.,"3,75",,Tanzania
Arete,Tien Giang,2016,73,U.S.A.,"3,5",Trinitario,Vietnam
Arete,Hacienda Victoria,2016,70,U.S.A.,"3,25",,Ecuador
Arete,Costa Esmeraldas,2016,70,U.S.A.,"3,25",,Ecuador
Arete,Lachua,2016,70,U.S.A.,"3,5",,Guatemala
Arete,Rugoso,2016,70,U.S.A.,"3,75",,Nicaragua
Arete,"La Masica, FHIA",2016,70,U.S.A.,"3,5",,Honduras
Arete,"Coto Brus, Terciopelo",2016,70,U.S.A.,4,,Costa Rica
Arete,Phantom,2016,70,U.S.A.,4,Forastero (Nacional),Peru
Arete,Elvesia,2016,70,U.S.A.,"3,75",,Dominican Republic
Arete,Matasawalevu,2016,70,U.S.A.,"3,25",,Fiji
Arete,Lam Dong,2016,73,U.S.A.,"3,25",,Vietnam
Arete,Fazenda Camboa,2015,70,U.S.A.,"3,5",,Brazil
Arete,Nacional,2015,68,U.S.A.,"3,5",Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",2015,70,U.S.A.,"3,75",Forastero (Nacional),Ecuador
Arete,Oko Caribe,2015,70,U.S.A.,"3,5",,Domincan Republic
