"mese","orario","reparto_ragg","reparto","Con/senza ausili","accomp_ragg","tipo_accompagnamento","tot_trasporti","trasporti_interni","trasporti_esterni"
"January","00-01","Cardiology","Cardiology","Without help","Without help","On foot","0,331125194805195","0,198675116883117","0,132450077922078"
"January","00-01","Cardiology","Cardiology","With help","With help","With wheelchair","2,75937662337662","1,65562597402597","1,10375064935065"
"January","00-01","Cardiology","Cardiology","With help","With help","With stretcher","0,607062857142858","0,364237714285715","0,242825142857143"
"January","00-01","Cardiology","Cardiology","With help","With help","With bed","0,66225038961039","0,397350233766234","0,264900155844156"
"January","00-01","Cardiology","Cardiology","With help","With help","With body trolleys","0,151765714285714","0,091059428571429","0,060706285714286"
"January","00-01","Medical clinic","Medical clinic","Without help","Without help","On foot","0,435179220779221","0,261107532467533","0,174071688311688"
"January","00-01","Medical clinic","Medical clinic","With help","With help","With wheelchair","2,07435428571429","1,24461257142858","0,829741714285715"
"January","00-01","Medical clinic","Medical clinic","With help","With help","With stretcher","0,990032727272728","0,594019636363637","0,396013090909092"
"January","00-01","Medical clinic","Medical clinic","With help","With help","With bed","0,391661298701299","0,23499677922078","0,15666451948052"
"January","00-01","Medical clinic","Medical clinic","With help","With help","With body trolleys","0,145059740259741","0,087035844155844","0,058023896103896"
"January","00-01","Day Surgery","Day Surgery","Without help","Without help","On foot","0,317024415584415","0,190214649350649","0,126809766233766"
"January","00-01","Day Surgery","Day Surgery","With help","With help","With wheelchair","1,84930909090909","1,10958545454545","0,739723636363636"
"January","00-01","Day Surgery","Day Surgery","With help","With help","With stretcher","0,399582857142857","0,239749714285715","0,159833142857143"
"January","00-01","Day Surgery","Day Surgery","With help","With help","With bed","0,534978701298701","0,32098722077922","0,21399148051948"
"January","00-01","Day Surgery","Day Surgery","With help","With help","With body trolleys","0,108977142857143","0,065386285714286","0,043590857142857"
"January","00-01","DH Orthopedic","DH Orthopedic","Without help","Without help","On foot","0,412083116883116","0,247249870129871","0,164833246753247"
"January","00-01","DH Orthopedic","DH Orthopedic","With help","With help","With wheelchair","3,85297714285714","2,31178628571429","1,54119085714286"
"January","00-01","DH Orthopedic","DH Orthopedic","With help","With help","With stretcher","1,69640883116883","1,0178452987013","0,678563532467532"
"January","00-01","DH Orthopedic","DH Orthopedic","With help","With help","With bed","1,48349922077922","0,890099532467533","0,593399688311688"
"January","00-01","DH Orthopedic","DH Orthopedic","With help","With help","With body trolleys","0,054944415584416","0,03296664935065","0,021977766233766"
"January","00-01","Internal Medicine","Internal Medicine","Without help","Without help","On foot","0,353005714285714","0,211803428571429","0,141202285714286"
"January","00-01","Internal Medicine","Internal Medicine","With help","With help","With wheelchair","2,94171428571428","1,76502857142857","1,17668571428571"
"January","00-01","Internal Medicine","Internal Medicine","With help","With help","With stretcher","0,647177142857143","0,388306285714285","0,258870857142857"
"January","00-01","Internal Medicine","Internal Medicine","With help","With help","With bed","0,706011428571429","0,423606857142857","0,282404571428571"
"January","00-01","Internal Medicine","Internal Medicine","With help","With help","With body trolleys","0,161794285714285","0,097076571428572","0,064717714285715"
"January","00-01","Urgency Medicine","Urgency Medicine","Without help","Without help","On foot","0,41572987012987","0,249437922077922","0,166291948051948"
"January","00-01","Urgency Medicine","Urgency Medicine","With help","With help","With wheelchair","1,98164571428571","1,18898742857143","0,792658285714285"
